id,title,artist
180678,Matisse's Dining Room-1941,"Henri Matisse French, 1869-1954"
230692,"Monsieur Loyal, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230691,"The Circus, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230690,"The Clown, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230694,"The Horse, the Rider, and the Clown, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230693,"The Nightmare of the White Elephant, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230696,"The Heart, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230695,"The Wolf, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230698,"Forms, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230697,"Icarus, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230700,"The Codomas, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230699,"Pierrot’s Funeral, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230702,"The Sword Swallower, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230701,"The Swimmer in the Tank, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230703,"The Cowboy, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230705,"Destiny, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230704,"The Knife Thrower, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230707,"The Lagoon, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230706,"The Lagoon, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230709,"The Toboggan, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230708,"The Lagoon, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
